TalentFamily,TalentName,NodeID,ProgressionDepth,VisualRow,Rank,Cost,RequiredPathCost,EffectType,RawValue,DisplayedValue,MarginalGain,GainPerPoint,ParentNodeID,BuffID,PatternType,Confidence
SJWSkillTree / Magicien élémentaire / Glace / ElementCumulativeDam / Augmentation des dégâts de chaîne,Augmentation des dégâts de chaîne,115201,1,2,1,4 SkillPoint,2,ElementCumulativeDam,1,1,1,NON DÉTERMINÉ,115101,90000063,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
SJWSkillTree / Magicien élémentaire / Glace / Pénétration de défense / Augmentation de la Pénétration de défense,Augmentation de la Pénétration de défense,115402,3,4,1,3 SkillPoint,8,ArmPen,80,80,80,NON DÉTERMINÉ,115301,90000062,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
SJWSkillTree / Magicien élémentaire / Feu / Pénétration de défense / Pénétration de défense augmentée,Pénétration de défense augmentée,116401,3,4,1,3 SkillPoint,8,ArmPen,80,80,80,NON DÉTERMINÉ,116301,90000074,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
SJWSkillTree / Souverain / Changement gravitationnel / DamageOnReaction / Dégâts augmentés contre les cibles à terre,Dégâts augmentés contre les cibles à terre,118201,1,2,1,4 SkillPoint,2,DamageOnReaction,480,480,480,NON DÉTERMINÉ,118101,90000098,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
Groupe 9 / Groupe 9 / Attaque / Attaque augmentée,Attaque augmentée 1 1/3,119101,0,1,1,2 SkillPoint,0,AttFR,100,1%,1%,0.5,,100000001,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Attaque / Attaque augmentée,Attaque augmentée 1 2/3,119101,0,1,2,3 SkillPoint,0,AttFR,100,1%,1%,0.3333,,100000001,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Attaque / Attaque augmentée,Attaque augmentée 1 3/3,119101,0,1,3,4 SkillPoint,0,AttFR,100,1%,1%,0.25,,100000001,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Défense / Défense augmentée,Défense augmentée 1 1/3,119102,0,1,1,2 SkillPoint,0,ArmFR,100,1%,1%,0.5,,100000002,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Défense / Défense augmentée,Défense augmentée 1 2/3,119102,0,1,2,3 SkillPoint,0,ArmFR,100,1%,1%,0.3333,,100000002,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Défense / Défense augmentée,Défense augmentée 1 3/3,119102,0,1,3,4 SkillPoint,0,ArmFR,100,1%,1%,0.25,,100000002,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / PV / PV augmentés,PV augmentés 1 1/3,119103,0,1,1,2 SkillPoint,0,IncreaseMHP,100,1%,1%,0.5,,100000003,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / PV / PV augmentés,PV augmentés 1 2/3,119103,0,1,2,3 SkillPoint,0,IncreaseMHP,100,1%,1%,0.3333,,100000003,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / PV / PV augmentés,PV augmentés 1 3/3,119103,0,1,3,4 SkillPoint,0,IncreaseMHP,100,1%,1%,0.25,,100000003,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Attaque / Attaque augmentée,Attaque augmentée 2 1/3,119201,1,2,1,2 SkillPoint,2,AttFR,200,2%,2%,1,119101,100000004,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Attaque / Attaque augmentée,Attaque augmentée 2 2/3,119201,1,2,2,3 SkillPoint,2,AttFR,200,2%,2%,0.6667,119101,100000004,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Attaque / Attaque augmentée,Attaque augmentée 2 3/3,119201,1,2,3,4 SkillPoint,2,AttFR,200,2%,2%,0.5,119101,100000004,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Défense / Défense augmentée,Défense augmentée 2 1/3,119202,1,2,1,2 SkillPoint,2,ArmFR,200,2%,2%,1,119102,100000005,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Défense / Défense augmentée,Défense augmentée 2 2/3,119202,1,2,2,3 SkillPoint,2,ArmFR,200,2%,2%,0.6667,119102,100000005,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Défense / Défense augmentée,Défense augmentée 2 3/3,119202,1,2,3,4 SkillPoint,2,ArmFR,200,2%,2%,0.5,119102,100000005,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / PV / PV augmentés,PV augmentés 2 1/3,119203,1,2,1,2 SkillPoint,2,IncreaseMHP,200,2%,2%,1,119103,100000006,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / PV / PV augmentés,PV augmentés 2 2/3,119203,1,2,2,3 SkillPoint,2,IncreaseMHP,200,2%,2%,0.6667,119103,100000006,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / PV / PV augmentés,PV augmentés 2 3/3,119203,1,2,3,4 SkillPoint,2,IncreaseMHP,200,2%,2%,0.5,119103,100000006,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Attaque / Attaque augmentée,Attaque augmentée 3 1/3,119301,2,3,1,2 SkillPoint,4,AttFR,300,3%,3%,1.5,119201,100000007,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Attaque / Attaque augmentée,Attaque augmentée 3 2/3,119301,2,3,2,3 SkillPoint,4,AttFR,300,3%,3%,1,119201,100000007,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Attaque / Attaque augmentée,Attaque augmentée 3 3/3,119301,2,3,3,4 SkillPoint,4,AttFR,300,3%,3%,0.75,119201,100000007,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Défense / Défense augmentée,Défense augmentée 3 1/3,119302,2,3,1,2 SkillPoint,4,ArmFR,300,3%,3%,1.5,119202,100000008,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Défense / Défense augmentée,Défense augmentée 3 2/3,119302,2,3,2,3 SkillPoint,4,ArmFR,300,3%,3%,1,119202,100000008,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Défense / Défense augmentée,Défense augmentée 3 3/3,119302,2,3,3,4 SkillPoint,4,ArmFR,300,3%,3%,0.75,119202,100000008,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / PV / PV augmentés,PV augmentés 3 1/3,119303,2,3,1,2 SkillPoint,4,IncreaseMHP,300,3%,3%,1.5,119203,100000009,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / PV / PV augmentés,PV augmentés 3 2/3,119303,2,3,2,3 SkillPoint,4,IncreaseMHP,300,3%,3%,1,119203,100000009,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / PV / PV augmentés,PV augmentés 3 3/3,119303,2,3,3,4 SkillPoint,4,IncreaseMHP,300,3%,3%,0.75,119203,100000009,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Attaque / Attaque augmentée,Attaque augmentée 4 1/3,119401,3,4,1,3 SkillPoint,6,AttFR,400,4%,4%,1.3333,119301,100000010,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Attaque / Attaque augmentée,Attaque augmentée 4 2/3,119401,3,4,2,4 SkillPoint,6,AttFR,400,4%,4%,1,119301,100000010,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Attaque / Attaque augmentée,Attaque augmentée 4 3/3,119401,3,4,3,5 SkillPoint,6,AttFR,400,4%,4%,0.8,119301,100000010,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Défense / Défense augmentée,Défense augmentée 4 1/3,119402,3,4,1,3 SkillPoint,6,ArmFR,400,4%,4%,1.3333,119302,100000011,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Défense / Défense augmentée,Défense augmentée 4 2/3,119402,3,4,2,4 SkillPoint,6,ArmFR,400,4%,4%,1,119302,100000011,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Défense / Défense augmentée,Défense augmentée 4 3/3,119402,3,4,3,5 SkillPoint,6,ArmFR,400,4%,4%,0.8,119302,100000011,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / PV / PV augmentés,PV augmentés 4 1/3,119403,3,4,1,3 SkillPoint,6,IncreaseMHP,400,4%,4%,1.3333,119303,100000012,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / PV / PV augmentés,PV augmentés 4 2/3,119403,3,4,2,4 SkillPoint,6,IncreaseMHP,400,4%,4%,1,119303,100000012,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / PV / PV augmentés,PV augmentés 4 3/3,119403,3,4,3,5 SkillPoint,6,IncreaseMHP,400,4%,4%,0.8,119303,100000012,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Attaque / Attaque augmentée,Attaque augmentée 5 1/3,119501,4,5,1,3 SkillPoint,9,AttFR,500,5%,5%,1.6667,119401,100000013,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Attaque / Attaque augmentée,Attaque augmentée 5 2/3,119501,4,5,2,4 SkillPoint,9,AttFR,500,5%,5%,1.25,119401,100000013,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Attaque / Attaque augmentée,Attaque augmentée 5 3/3,119501,4,5,3,5 SkillPoint,9,AttFR,500,5%,5%,1,119401,100000013,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Défense / Défense augmentée,Défense augmentée 5 1/3,119502,4,5,1,3 SkillPoint,9,ArmFR,500,5%,5%,1.6667,119402,100000014,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Défense / Défense augmentée,Défense augmentée 5 2/3,119502,4,5,2,4 SkillPoint,9,ArmFR,500,5%,5%,1.25,119402,100000014,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Défense / Défense augmentée,Défense augmentée 5 3/3,119502,4,5,3,5 SkillPoint,9,ArmFR,500,5%,5%,1,119402,100000014,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / PV / PV augmentés,PV augmentés 5 1/3,119503,4,5,1,3 SkillPoint,9,IncreaseMHP,500,5%,5%,1.6667,119403,100000015,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / PV / PV augmentés,PV augmentés 5 2/3,119503,4,5,2,4 SkillPoint,9,IncreaseMHP,500,5%,5%,1.25,119403,100000015,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / PV / PV augmentés,PV augmentés 5 3/3,119503,4,5,3,5 SkillPoint,9,IncreaseMHP,500,5%,5%,1,119403,100000015,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Attaque / Attaque augmentée,Attaque augmentée 6 1/3,119601,5,6,1,3 SkillPoint,12,AttFR,600,6%,6%,2,119501,100000016,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Attaque / Attaque augmentée,Attaque augmentée 6 2/3,119601,5,6,2,4 SkillPoint,12,AttFR,600,6%,6%,1.5,119501,100000016,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Attaque / Attaque augmentée,Attaque augmentée 6 3/3,119601,5,6,3,5 SkillPoint,12,AttFR,600,6%,6%,1.2,119501,100000016,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Défense / Défense augmentée,Défense augmentée 6 1/3,119602,5,6,1,3 SkillPoint,12,ArmFR,600,6%,6%,2,119502,100000017,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Défense / Défense augmentée,Défense augmentée 6 2/3,119602,5,6,2,4 SkillPoint,12,ArmFR,600,6%,6%,1.5,119502,100000017,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / Défense / Défense augmentée,Défense augmentée 6 3/3,119602,5,6,3,5 SkillPoint,12,ArmFR,600,6%,6%,1.2,119502,100000017,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / PV / PV augmentés,PV augmentés 6 1/3,119603,5,6,1,3 SkillPoint,12,IncreaseMHP,600,6%,6%,2,119503,100000018,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / PV / PV augmentés,PV augmentés 6 2/3,119603,5,6,2,4 SkillPoint,12,IncreaseMHP,600,6%,6%,1.5,119503,100000018,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 9 / Groupe 9 / PV / PV augmentés,PV augmentés 6 3/3,119603,5,6,3,5 SkillPoint,12,IncreaseMHP,600,6%,6%,1.2,119503,100000018,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Taux critique / Taux de coup critique,Taux de coup critique 1 1/3,1110101,0,1,1,2 SkillPoint,0,CriticalP,100,1%,1%,0.5,,100000019,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Taux critique / Taux de coup critique,Taux de coup critique 1 2/3,1110101,0,1,2,3 SkillPoint,0,CriticalP,100,1%,1%,0.3333,,100000019,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Taux critique / Taux de coup critique,Taux de coup critique 1 3/3,1110101,0,1,3,4 SkillPoint,0,CriticalP,100,1%,1%,0.25,,100000019,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Dégâts critiques / Dégâts de coup critique,Dégâts de coup critique 1 1/3,1110102,0,1,1,2 SkillPoint,0,CriDamP,100,1%,1%,0.5,,100000020,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Dégâts critiques / Dégâts de coup critique,Dégâts de coup critique 1 2/3,1110102,0,1,2,3 SkillPoint,0,CriDamP,100,1%,1%,0.3333,,100000020,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Dégâts critiques / Dégâts de coup critique,Dégâts de coup critique 1 3/3,1110102,0,1,3,4 SkillPoint,0,CriDamP,100,1%,1%,0.25,,100000020,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Pénétration de défense / Pénétration de défense,Pénétration de défense 1 1/3,1110103,0,1,1,2 SkillPoint,0,ArmPen,100,100,100,NON DÉTERMINÉ,,100000021,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
Groupe 10 / Groupe 10 / Pénétration de défense / Pénétration de défense,Pénétration de défense 1 2/3,1110103,0,1,2,3 SkillPoint,0,ArmPen,100,100,100,NON DÉTERMINÉ,,100000021,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
Groupe 10 / Groupe 10 / Pénétration de défense / Pénétration de défense,Pénétration de défense 1 3/3,1110103,0,1,3,4 SkillPoint,0,ArmPen,100,100,100,NON DÉTERMINÉ,,100000021,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
Groupe 10 / Groupe 10 / Taux critique / Taux de coup critique,Taux de coup critique 2 1/3,1110201,1,2,1,2 SkillPoint,2,CriticalP,200,2%,2%,1,1110101,100000022,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Taux critique / Taux de coup critique,Taux de coup critique 2 2/3,1110201,1,2,2,3 SkillPoint,2,CriticalP,200,2%,2%,0.6667,1110101,100000022,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Taux critique / Taux de coup critique,Taux de coup critique 2 3/3,1110201,1,2,3,4 SkillPoint,2,CriticalP,200,2%,2%,0.5,1110101,100000022,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Dégâts critiques / Dégâts de coup critique,Dégâts de coup critique 2 1/3,1110202,1,2,1,2 SkillPoint,2,CriDamP,200,2%,2%,1,1110102,100000023,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Dégâts critiques / Dégâts de coup critique,Dégâts de coup critique 2 2/3,1110202,1,2,2,3 SkillPoint,2,CriDamP,200,2%,2%,0.6667,1110102,100000023,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Dégâts critiques / Dégâts de coup critique,Dégâts de coup critique 2 3/3,1110202,1,2,3,4 SkillPoint,2,CriDamP,200,2%,2%,0.5,1110102,100000023,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Pénétration de défense / Pénétration de défense,Pénétration de défense 2 1/3,1110203,1,2,1,2 SkillPoint,2,ArmPen,200,200,200,NON DÉTERMINÉ,1110103,100000024,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
Groupe 10 / Groupe 10 / Pénétration de défense / Pénétration de défense,Pénétration de défense 2 2/3,1110203,1,2,2,3 SkillPoint,2,ArmPen,200,200,200,NON DÉTERMINÉ,1110103,100000024,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
Groupe 10 / Groupe 10 / Pénétration de défense / Pénétration de défense,Pénétration de défense 2 3/3,1110203,1,2,3,4 SkillPoint,2,ArmPen,200,200,200,NON DÉTERMINÉ,1110103,100000024,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
Groupe 10 / Groupe 10 / Taux critique / Taux de coup critique,Taux de coup critique 3 1/3,1110301,2,3,1,2 SkillPoint,4,CriticalP,300,3%,3%,1.5,1110201,100000025,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Taux critique / Taux de coup critique,Taux de coup critique 3 2/3,1110301,2,3,2,3 SkillPoint,4,CriticalP,300,3%,3%,1,1110201,100000025,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Taux critique / Taux de coup critique,Taux de coup critique 3 3/3,1110301,2,3,3,4 SkillPoint,4,CriticalP,300,3%,3%,0.75,1110201,100000025,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Dégâts critiques / Dégâts de coup critique,Dégâts de coup critique 3 1/3,1110302,2,3,1,2 SkillPoint,4,CriDamP,300,3%,3%,1.5,1110202,100000026,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Dégâts critiques / Dégâts de coup critique,Dégâts de coup critique 3 2/3,1110302,2,3,2,3 SkillPoint,4,CriDamP,300,3%,3%,1,1110202,100000026,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Dégâts critiques / Dégâts de coup critique,Dégâts de coup critique 3 3/3,1110302,2,3,3,4 SkillPoint,4,CriDamP,300,3%,3%,0.75,1110202,100000026,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Pénétration de défense / Pénétration de défense,Pénétration de défense 3 1/3,1110303,2,3,1,2 SkillPoint,4,ArmPen,300,300,300,NON DÉTERMINÉ,1110203,100000027,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
Groupe 10 / Groupe 10 / Pénétration de défense / Pénétration de défense,Pénétration de défense 3 2/3,1110303,2,3,2,3 SkillPoint,4,ArmPen,300,300,300,NON DÉTERMINÉ,1110203,100000027,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
Groupe 10 / Groupe 10 / Pénétration de défense / Pénétration de défense,Pénétration de défense 3 3/3,1110303,2,3,3,4 SkillPoint,4,ArmPen,300,300,300,NON DÉTERMINÉ,1110203,100000027,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
Groupe 10 / Groupe 10 / Taux critique / Taux de coup critique,Taux de coup critique 4 1/3,1110401,3,4,1,3 SkillPoint,6,CriticalP,400,4%,4%,1.3333,1110301,100000028,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Taux critique / Taux de coup critique,Taux de coup critique 4 2/3,1110401,3,4,2,4 SkillPoint,6,CriticalP,400,4%,4%,1,1110301,100000028,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Taux critique / Taux de coup critique,Taux de coup critique 4 3/3,1110401,3,4,3,5 SkillPoint,6,CriticalP,400,4%,4%,0.8,1110301,100000028,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Dégâts critiques / Dégâts de coup critique,Dégâts de coup critique 4 1/3,1110402,3,4,1,3 SkillPoint,6,CriDamP,400,4%,4%,1.3333,1110302,100000029,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Dégâts critiques / Dégâts de coup critique,Dégâts de coup critique 4 2/3,1110402,3,4,2,4 SkillPoint,6,CriDamP,400,4%,4%,1,1110302,100000029,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Dégâts critiques / Dégâts de coup critique,Dégâts de coup critique 4 3/3,1110402,3,4,3,5 SkillPoint,6,CriDamP,400,4%,4%,0.8,1110302,100000029,D. NON COMPARABLE / IRRÉGULIER,FORTEMENT PROBABLE
Groupe 10 / Groupe 10 / Pénétration de défense / Pénétration de défense,Pénétration de défense 4 1/3,1110403,3,4,1,3 SkillPoint,6,ArmPen,400,400,400,NON DÉTERMINÉ,1110303,100000030,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
Groupe 10 / Groupe 10 / Pénétration de défense / Pénétration de défense,Pénétration de défense 4 2/3,1110403,3,4,2,4 SkillPoint,6,ArmPen,400,400,400,NON DÉTERMINÉ,1110303,100000030,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
