Compétence,Nom rang,ID interne,SkillGroupID,BaseSkillInfoKey,Niveau,Rang,SkillType,TotalDamage,DamAttCoeff,DamArmCoeff,DamMHPCoeff,Cooldown,Coût MP,Gain MP,Buff IDs,Buffs appliqués,Description localisée,Coût d'amélioration explicite,Delta TotalDamage,Variation TotalDamage %,Delta DamAttCoeff,Variation DamAttCoeff %,Delta DamArmCoeff,Variation DamArmCoeff %,Delta DamMHPCoeff,Variation DamMHPCoeff %,Delta Cooldown,Variation Cooldown %,Delta MPCon,Variation MPCon %,Delta MPGain,Variation MPGain %,Gain réel par rapport au rang précédent
Entaille ardente,Entaille ardente I,1001648000001,1001648000000,1001648000001,1,1,NormalSkill,0,3.619999885559082,0.0,0.0,35.0,291,0,,,"Jinwoo concentre son énergie, dégaine rapidement son épée et frappe violemment devant lui.",,,,,,,,,,,,,,,,
Entaille ardente,Entaille ardente II,1001648000101,1001648000100,1001648000101,1,2,NormalSkill,0,3.619999885559082,0.0,0.0,35.0,291,0,200010005000,"200010005000 | stats DamReduP=3000 | states ReactionImmune(16,0,0)","Lorsque Jinwoo est touché alors qu'il adopte la posture <color=#FAC800>[Entaille ardente]</color>, les dégâts qu'il subit sont réduits et sa posture n'est pas interrompue. Les dégâts ainsi que l'effet Déséquilibre d'<color=#FAC800>[Entaille ardente]</color> augmentent légèrement l'espace d'un instant.",,0,,0,0,0,,0,,0,0,0,0,0,,buffs modifiés
Entaille ardente,Entaille ardente III,1001648000201,1001648000200,1001648000201,1,3,NormalSkill,0,3.869999885559082,0.0,0.0,35.0,291,0,200010005000,"200010005000 | stats DamReduP=3000 | states ReactionImmune(16,0,0)","Lorsque Jinwoo est touché alors qu'il adopte la posture <color=#FAC800>[Entaille ardente]</color>, les dégâts qu'il subit sont réduits et sa posture n'est pas interrompue. Les dégâts ainsi que l'effet Déséquilibre d'<color=#FAC800>[Entaille ardente]</color> augmentent légèrement l'espace d'un instant.",,0,,0.25,6.90608,0,,0,,0,0,0,0,0,,DamAttCoeff: 0.25 (6.90608%)
Entaille ardente,Entaille ardente IV,1001648000301,1001648000300,1001648000301,1,4,NormalSkill,0,3.869999885559082,0.0,0.0,35.0,291,0,"200010005000,200010005002","200010005000 | stats DamReduP=3000 | states ReactionImmune(16,0,0) || 200010005002","Lorsque Jinwoo est touché alors qu'il adopte la posture <color=#FAC800>[Entaille ardente]</color>, les dégâts qu'il subit sont réduits et sa posture n'est pas interrompue. Les dégâts ainsi que l'effet Déséquilibre d'<color=#FAC800>[Entaille ardente]</color> augmentent légèrement l'espace d'un instant.\nLorsque <color=#FAC800>[Entaille ardente]</color> met l'ennemi en état de <color=#FF8741>Déséquilibre</color>, le temps de rechargement de la compétence est réinitialisé et les dégâts d'<color=#FAC800>[Entaille ardente]</color> infligés à la cible augmentent significativement.",,0,,0,0,0,,0,,0,0,0,0,0,,buffs modifiés
Entaille ardente,Entaille ardente V,1001648000401,1001648000400,1001648000401,1,5,NormalSkill,0,3.9100000858306885,0.0,0.0,35.0,291,0,"200010005000,200010005002,200010005004","200010005000 | stats DamReduP=3000 | states ReactionImmune(16,0,0) || 200010005002 || 200010005004","Lorsque Jinwoo est touché alors qu'il adopte la posture <color=#FAC800>[Entaille ardente]</color>, les dégâts qu'il subit sont réduits et sa posture n'est pas interrompue. Les dégâts ainsi que l'effet Déséquilibre d'<color=#FAC800>[Entaille ardente]</color> augmentent légèrement l'espace d'un instant.\nLorsque <color=#FAC800>[Entaille ardente]</color> met l'ennemi en état de <color=#FF8741>Déséquilibre</color>, le temps de rechargement de la compétence est réinitialisé et les dégâts d'<color=#FAC800>[Entaille ardente]</color> infligés à la cible augmentent significativement.",,0,,0.0400002,1.0336,0,,0,,0,0,0,0,0,,DamAttCoeff: 0.0400002 (1.0336%); buffs modifiés
Jugement du Léviathan,Jugement du Léviathan I,1001602000001,1001602000000,1001602000001,1,1,NormalSkill,0,4.679999828338623,0.0,0.0,38.0,316,0,"1200191000,1001602000004","1200191000 | states ReactionImmune(16,0,0) | Super armure || 1001602000004 | stats CriDamP=4000","Lorsqu'il utilise cette compétence, Jinwoo bénéficie de <color=#64FAC8>[Super armure]</color>.",,,,,,,,,,,,,,,,
Jugement du Léviathan,Jugement du Léviathan II,1001602000101,1001602000100,1001602000101,1,2,NormalSkill,0,4.679999828338623,0.0,0.0,38.0,316,0,"1200191000,1001602000004,1001602000001","1200191000 | states ReactionImmune(16,0,0) | Super armure || 1001602000004 | stats CriDamP=4000 || 1001602000001","Lorsqu'il utilise cette compétence, Jinwoo bénéficie de <color=#64FAC8>[Super armure]</color>\n. Lorsque cette compétence touche sa cible, elle lui inflige l'effet <color=#64FAC8>[Glace gelée]</color>.",,0,,0,0,0,,0,,0,0,0,0,0,,buffs modifiés
Jugement du Léviathan,Jugement du Léviathan III,1001602000201,1001602000200,1001602000201,1,3,NormalSkill,0,4.880000114440918,0.0,0.0,38.0,316,0,"1200191000,1001602000004,1001602000001","1200191000 | states ReactionImmune(16,0,0) | Super armure || 1001602000004 | stats CriDamP=4000 || 1001602000001","Lorsqu'il utilise cette compétence, Jinwoo bénéficie de <color=#64FAC8>[Super armure]</color>\n. Lorsque cette compétence touche sa cible, elle lui inflige l'effet <color=#64FAC8>[Glace gelée]</color>.",,0,,0.2,4.27351,0,,0,,0,0,0,0,0,,DamAttCoeff: 0.2 (4.27351%)
Jugement du Léviathan,Jugement du Léviathan IV,1001602000301,1001602000300,1001602000301,1,4,NormalSkill,0,4.880000114440918,0.0,0.0,38.0,316,0,"1001602000002,1200191000,1001602000004,1001602000001","1001602000002 | states ChangeDamageOnElementType(1,500,0) || 1200191000 | states ReactionImmune(16,0,0) | Super armure || 1001602000004 | stats CriDamP=4000 || 1001602000001","Lorsqu'il utilise cette compétence, Jinwoo bénéficie de <color=#64FAC8>[Super armure]</color>\n. Lorsque cette compétence touche sa cible, elle lui inflige l'effet <color=#64FAC8>[Glace gelée]</color>.\nLes ennemis se trouvant dans la zone pluvieuse subissent davantage de dégâts d'<color=#4B96FA>[eau]</color>.",,0,,0,0,0,,0,,0,0,0,0,0,,buffs modifiés
Éclat de lumière,Éclat de lumière I,1001626000001,1001626000000,1001626000001,1,1,NormalSkill,0,2.5999999046325684,0.0,0.0,28.0,233,0,,,"Jinwoo traîne son arme au sol pour provoquer une puissante explosion, puis recule et tire une salve de flèches de lumière.",,,,,,,,,,,,,,,,
Éclat de lumière,Éclat de lumière II,1001626000101,1001626000100,1001626000101,1,2,NormalSkill,0,2.680000066757202,0.0,0.0,28.0,233,0,200020004001,"200020004001 | Paralysie | states BodyStop(60,0,0) | Immobilise la cible.\nDurée : <color=#FFDF7D>{Duration,0.001} seconde(s)</color>","Lorsque la première attaque de Jinwoo touche, elle inflige l'effet <color=#64FAC8>[Paralysie]</color> à la cible.",,0,,0.0800002,3.07693,0,,0,,0,0,0,0,0,,DamAttCoeff: 0.0800002 (3.07693%); buffs modifiés
Éclat de lumière,Éclat de lumière III,1001626000201,1001626000200,1001626000201,1,3,NormalSkill,0,2.680000066757202,0.0,0.0,28.0,233,0,"200020004001,200020004002","200020004001 | Paralysie | states BodyStop(60,0,0) | Immobilise la cible.\nDurée : <color=#FFDF7D>{Duration,0.001} seconde(s)</color> || 200020004002 | states IncreaseDamageByTargetSpecialState(626,22,5000)","Lorsque la première attaque de Jinwoo touche, elle inflige l'effet <color=#64FAC8>[Paralysie]</color> à la cible.\nAugmente les dégâts d'<color=#FAC800>[Éclat de lumière]</color> infligés aux cibles touchées par l'effet <color=#64FAC8>[Paralysie]</color>.",,0,,0,0,0,,0,,0,0,0,0,0,,buffs modifiés
Éclat de lumière,Éclat de lumière IV,1001626000301,1001626000300,1001626000301,1,4,NormalSkill,0,2.680000066757202,0.0,0.0,28.0,233,0,"200020004001,200020004002","200020004001 | Paralysie | states BodyStop(60,0,0) | Immobilise la cible.\nDurée : <color=#FFDF7D>{Duration,0.001} seconde(s)</color> || 200020004002 | states IncreaseDamageByTargetSpecialState(626,22,5000)","Lorsque la première attaque de Jinwoo touche, elle inflige l'effet <color=#64FAC8>[Paralysie]</color> à la cible.\nAugmente les dégâts d'<color=#FAC800>[Éclat de lumière]</color> infligés aux cibles touchées par l'effet <color=#64FAC8>[Paralysie]</color>.",,0,,0,0,0,,0,,0,0,0,0,0,,
Vile attaque sournoise,Vile attaque sournoise I,1001706000001,1001706000000,1001706000001,1,1,NormalSkill,0,1.4299999475479126,0.0,0.0,22.0,183,0,,,Jinwoo se téléporte au-dessus de la tête de l'ennemi et le frappe d'une seule main.,,,,,,,,,,,,,,,,
Vile attaque sournoise,Vile attaque sournoise II,1001706000101,1001706000100,1001706000101,1,2,NormalSkill,0,1.4900000095367432,0.0,0.0,22.0,183,0,200010008001,"200010008001 | stats AttFR=-1000 | states LevelDotDamage(6,4000,0)","Lorsque les ennemis marchent sur les tuiles empoisonnées, ils déclenchent l'effet <color=#64FAC8>[Poison]</color>.",,0,,0.0600001,4.19581,0,,0,,0,0,0,0,0,,DamAttCoeff: 0.0600001 (4.19581%); buffs modifiés
Vile attaque sournoise,Vile attaque sournoise III,1001706000201,1001706000200,1001706000201,1,3,NormalSkill,0,2.3499999046325684,0.0,0.0,22.0,183,0,200010008001,"200010008001 | stats AttFR=-1000 | states LevelDotDamage(6,4000,0)","Lorsque les ennemis entrent en contact avec le brouillard toxique, ils subissent l'effet <color=#64FAC8>[Poison]</color>.",,0,,0.86,57.7181,0,,0,,0,0,0,0,0,,DamAttCoeff: 0.86 (57.7181%)
Vile attaque sournoise,Vile attaque sournoise IV,1001706000301,1001706000300,1001706000301,1,4,NormalSkill,0,2.3499999046325684,0.0,0.0,22.0,183,0,"200010008001,200010008002","200010008001 | stats AttFR=-1000 | states LevelDotDamage(6,4000,0) || 200010008002 | states SkillDamageIncreaseOnBuffedTarget(0,75,1000)","Lorsque les ennemis entrent en contact avec le brouillard toxique, ils subissent l'effet <color=#64FAC8>[Poison]</color>.\nLes dégâts infligés aux cibles touchées par l'effet <color=#64FAC8>[Poison]</color> augmentent.",,0,,0,0,0,,0,,0,0,0,0,0,,buffs modifiés
Incinération,Incinération I,1001720000001,1001720000000,1001720000001,1,1,NormalSkill,0,1.7799999713897705,0.0,0.0,35.0,291,0,,,Jinwoo concentre une énergie de feu intense et la fait exploser devant lui.,,,,,,,,,,,,,,,,
Incinération,Incinération II,1001720000101,1001720000100,1001720000101,1,2,NormalSkill,0,1.7799999713897705,0.0,0.0,35.0,291,0,"10185,10187","10185 | states SkillChange(1001720000100,1001720000500,0), SkillChange(1001720000200,1001720000500,0), SkillChange(1001720000300,1001720000500,0) || 10187 | states SkillChange(1001720000100,1001720000400,0), SkillChange(1001720000200,1001720000400,0), SkillChange(1001720000300,1001720000400,0)","Lorsque l'utilisateur réactive cette compétence au bon moment alors que l'énergie de feu est concentrée, une explosion supplémentaire se déclenche.",,0,,0,0,0,,0,,0,0,0,0,0,,buffs modifiés
Incinération,Incinération III,1001720000201,1001720000200,1001720000201,1,3,NormalSkill,0,1.7799999713897705,0.0,0.0,35.0,291,0,"10185,10187,10183","10185 | states SkillChange(1001720000100,1001720000500,0), SkillChange(1001720000200,1001720000500,0), SkillChange(1001720000300,1001720000500,0) || 10187 | states SkillChange(1001720000100,1001720000400,0), SkillChange(1001720000200,1001720000400,0), SkillChange(1001720000300,1001720000400,0) || 10183 | states SkillTreeMpCost(3,-1000,0), SkillTreeEnhance(3,500,0) | Lorsque l'utilisateur applique <color=#FAC800>Éclatement</color>, les effets <color=#64FAC8>[Insufflation de points de mana]</color> ou <color=#64FAC8>[Récupération de points de mana]</color> s'appliquent selon la quantité de PM restante. <BuffIcon,10185>Si les PM de l'utilisateur sont de <color=#FFDF7D>{TriggerOptionValue2,1} %</color> ou plus, l'effet est activé.\n\nLorsque l'utilisateur applique <color=#FAC800>Éclatement</color>, ses dégâts de compétence augmentent de <color=#FFDF7D>{Buff,10186,SpecialState1OptionValue2,0.01} %</color>, mais <color=#FFDF7D>{Buff,10186,SpecialState2OptionValue2,-0.01} %</color> de ses PM max sont consommés.</BuffIcon> <BuffIcon,10187>Si les PM de l'utilisateur sont de <color=#FFDF7D>{Buff,10184,TriggerOptionValue2} %</color> ou moins, l'effet est activé.\n\nL'utilisateur récupère <color=#FFDF7D>{Buff,10189,SpecialState1OptionValue2,0.01} %</color> de ses PM pour chaque cible touchée par <color=#FAC800>Éclatement</color>.</BuffIcon>","Lorsque Jinwoo réactive cette compétence au bon moment alors que l'énergie de feu est concentrée, une explosion supplémentaire se déclenche. Les dégâts de toutes ses compétences de combat passives de <color=#64FAC8>[Magicien élémentaire]</color> augmentent et sa consommation de MP diminue.",,0,,0,0,0,,0,,0,0,0,0,0,,buffs modifiés
Incinération,Incinération IV,1001720000301,1001720000300,1001720000301,1,4,NormalSkill,0,1.8899999856948853,0.0,0.0,35.0,291,0,"10185,10188,10187,10183","10185 | states SkillChange(1001720000100,1001720000500,0), SkillChange(1001720000200,1001720000500,0), SkillChange(1001720000300,1001720000500,0) || 10188 | states EnhanceElementValue(1,100,720) || 10187 | states SkillChange(1001720000100,1001720000400,0), SkillChange(1001720000200,1001720000400,0), SkillChange(1001720000300,1001720000400,0) || 10183 | states SkillTreeMpCost(3,-1000,0), SkillTreeEnhance(3,500,0) | Lorsque l'utilisateur applique <color=#FAC800>Éclatement</color>, les effets <color=#64FAC8>[Insufflation de points de mana]</color> ou <color=#64FAC8>[Récupération de points de mana]</color> s'appliquent selon la quantité de PM restante. <BuffIcon,10185>Si les PM de l'utilisateur sont de <color=#FFDF7D>{TriggerOptionValue2,1} %</color> ou plus, l'effet est activé.\n\nLorsque l'utilisateur applique <color=#FAC800>Éclatement</color>, ses dégâts de compétence augmentent de <color=#FFDF7D>{Buff,10186,SpecialState1OptionValue2,0.01} %</color>, mais <color=#FFDF7D>{Buff,10186,SpecialState2OptionValue2,-0.01} %</color> de ses PM max sont consommés.</BuffIcon> <BuffIcon,10187>Si les PM de l'utilisateur sont de <color=#FFDF7D>{Buff,10184,TriggerOptionValue2} %</color> ou moins, l'effet est activé.\n\nL'utilisateur récupère <color=#FFDF7D>{Buff,10189,SpecialState1OptionValue2,0.01} %</color> de ses PM pour chaque cible touchée par <color=#FAC800>Éclatement</color>.</BuffIcon>","Lorsque Jinwoo réactive cette compétence au bon moment alors que l'énergie de feu est concentrée, une explosion supplémentaire se déclenche. Les dégâts de toutes ses compétences de combat passives de <color=#64FAC8>[Magicien élémentaire]</color> augmentent et sa consommation de MP diminue.",,0,,0.11,6.17978,0,,0,,0,0,0,0,0,,DamAttCoeff: 0.11 (6.17978%); buffs modifiés
Destruction terrestre,Destruction terrestre I,1001725000001,1001725000000,1001725000001,1,1,NormalSkill,0,2.3299999237060547,0.0,0.0,31.0,258,0,1420000020,"1420000020 | stats PrecisionP=-3000, DamP=3000","Après avoir tournoyé dans les airs, Jinwoo frappe le sol avec force. Maintenez le bouton enfoncé pour prolonger son temps dans les airs.",,,,,,,,,,,,,,,,
Destruction terrestre,Destruction terrestre II,1001725000101,1001725000100,1001725000101,1,2,NormalSkill,0,2.3299999237060547,0.0,0.0,31.0,258,0,"1420000020,200010011001","1420000020 | stats PrecisionP=-3000, DamP=3000 || 200010011001","Lorsque cette compétence est utilisée, l'utilisateur obtient un <color=#64FAC8>[Bouclier]</color>.",,0,,0,0,0,,0,,0,0,0,0,0,,buffs modifiés
Destruction terrestre,Destruction terrestre III,1001725000201,1001725000200,1001725000201,1,3,NormalSkill,0,0.0,0.0,0.0,31.0,258,0,"1420000020,200010011001","1420000020 | stats PrecisionP=-3000, DamP=3000 || 200010011001","Lorsque Sung Jinwoo utilise cette compétence, il obtient un <color=#64FAC8>[Bouclier]</color> pendant un certain temps.",,0,,-2.33,-100,0,,0,,0,0,0,0,0,,DamAttCoeff: -2.33 (-100%)
Destruction terrestre,Destruction terrestre IV,1001725000301,1001725000300,1001725000301,1,4,NormalSkill,0,0.0,0.0,0.0,31.0,258,0,"200010011003,1420000020,200010011001","200010011003 | states SkillCast(1001828000000,0,0) || 1420000020 | stats PrecisionP=-3000, DamP=3000 || 200010011001","Lorsque Sung Jinwoo utilise cette compétence, il obtient un <color=#64FAC8>[Bouclier]</color> pendant un certain temps.",,0,,0,,0,,0,,0,0,0,0,0,,buffs modifiés
Charge explosive,Charge explosive I,1001735000001,1001735000000,1001735000001,1,1,NormalSkill,0,4.659999847412109,0.0,0.0,34.0,283,0,1420000020,"1420000020 | stats PrecisionP=-3000, DamP=3000",Jinwoo fonce vers l'avant et assène une frappe vers le bas à la cible.,,,,,,,,,,,,,,,,
Charge explosive,Charge explosive II,1001735000101,1001735000100,1001735000101,1,2,NormalSkill,0,7.059999942779541,0.0,0.0,34.0,283,0,1420000020,"1420000020 | stats PrecisionP=-3000, DamP=3000","Jinwoo fonce vers l'avant, concentre une énergie puissante et assène une frappe vers le bas.",,0,,2.4,51.5021,0,,0,,0,0,0,0,0,,DamAttCoeff: 2.4 (51.5021%)
Charge explosive,Charge explosive III,1001735000201,1001735000200,1001735000201,1,3,NormalSkill,0,7.059999942779541,0.0,0.0,34.0,283,0,"10167,10169,1420000020","10167 | stats PrecisionP=-3000 || 10169 | states CriticalRate(2000,735,0) | L'effet <color=#64FAC8>[Force d'orc]</color> s'applique également en cas de Coup critique réussi.\nAugmente les chance qu'<color=#FAC800>Épée longue d'orc</color> inflige un Coup critique de <color=#FFDF7D>{SpecialState1OptionValue1,0.01} %</color>. || 1420000020 | stats PrecisionP=-3000, DamP=3000","Les chances de coup critique de Jinwoo augmentent considérablement, et il inflige un puissant effet de déséquilibre à l'ennemi.",,0,,0,0,0,,0,,0,0,0,0,0,,buffs modifiés
Charge explosive,Charge explosive IV,1001735000301,1001735000300,1001735000301,1,4,NormalSkill,0,7.440000057220459,0.0,0.0,34.0,283,0,"10851,10167,10169,1420000020","10851 | states Invincible(100,0,0) || 10167 | stats PrecisionP=-3000 || 10169 | states CriticalRate(2000,735,0) | L'effet <color=#64FAC8>[Force d'orc]</color> s'applique également en cas de Coup critique réussi.\nAugmente les chance qu'<color=#FAC800>Épée longue d'orc</color> inflige un Coup critique de <color=#FFDF7D>{SpecialState1OptionValue1,0.01} %</color>. || 1420000020 | stats PrecisionP=-3000, DamP=3000","Les chances de coup critique de Jinwoo augmentent considérablement, et il inflige un puissant effet de déséquilibre à l'ennemi. Lorsque cette compétence est utilisée, Jinwoo bénéficie de l'effet <color=#64FAC8>[Immunité aux dégâts]</color>.",,0,,0.38,5.38244,0,,0,,0,0,0,0,0,,DamAttCoeff: 0.38 (5.38244%); buffs modifiés
