Level,TotalExpRaw,MaxAP,ProvideSkillSet,SkillPointGain,SkillPointTotal,WeaponPointGain,WeaponPointTotal,SpecialPointGain,SpecialPointTotal,IdentityPointGain,IdentityPointTotal,Confidence
22,6.71e-320,15,0,2,14,0,14,0,14,0,0,CONFIRMÉ PAR LES GAMEDATA
23,7.0854e-320,15,0,0,14,2,16,0,14,0,0,CONFIRMÉ PAR LES GAMEDATA
24,7.4653e-320,15,0,0,14,0,16,2,16,0,0,CONFIRMÉ PAR LES GAMEDATA
25,7.85e-320,15,0,2,16,0,16,0,16,0,0,CONFIRMÉ PAR LES GAMEDATA
26,8.2553e-320,15,0,0,16,2,18,0,16,0,0,CONFIRMÉ PAR LES GAMEDATA
27,8.681e-320,15,0,0,16,0,18,2,18,0,0,CONFIRMÉ PAR LES GAMEDATA
28,9.128e-320,15,0,2,18,0,18,0,18,0,0,CONFIRMÉ PAR LES GAMEDATA
29,9.596e-320,15,0,0,18,2,20,0,18,0,0,CONFIRMÉ PAR LES GAMEDATA
30,1.00864e-319,15,0,0,18,0,20,2,20,0,0,CONFIRMÉ PAR LES GAMEDATA
31,1.0579e-319,15,0,2,20,0,20,0,20,0,0,CONFIRMÉ PAR LES GAMEDATA
32,1.1074e-319,15,0,0,20,2,22,0,20,0,0,CONFIRMÉ PAR LES GAMEDATA
33,1.1571e-319,15,0,0,20,0,22,2,22,0,0,CONFIRMÉ PAR LES GAMEDATA
34,1.20676e-319,15,0,2,22,0,22,0,22,0,0,CONFIRMÉ PAR LES GAMEDATA
35,1.2564e-319,15,0,0,22,2,24,0,22,0,0,CONFIRMÉ PAR LES GAMEDATA
36,1.3088e-319,15,0,0,22,0,24,2,24,0,0,CONFIRMÉ PAR LES GAMEDATA
37,1.3651e-319,15,0,2,24,0,24,0,24,0,0,CONFIRMÉ PAR LES GAMEDATA
38,1.42553e-319,15,0,0,24,2,26,0,24,0,0,CONFIRMÉ PAR LES GAMEDATA
39,1.4903e-319,15,0,0,24,0,26,2,26,0,0,CONFIRMÉ PAR LES GAMEDATA
40,1.55957e-319,15,0,2,26,0,26,0,26,0,0,CONFIRMÉ PAR LES GAMEDATA
41,1.6322e-319,15,0,0,26,2,28,0,26,0,0,CONFIRMÉ PAR LES GAMEDATA
42,1.70823e-319,15,0,0,26,0,28,2,28,0,0,CONFIRMÉ PAR LES GAMEDATA
43,1.7879e-319,15,0,2,28,0,28,0,28,0,0,CONFIRMÉ PAR LES GAMEDATA
44,1.87117e-319,15,0,0,28,2,30,0,28,0,0,CONFIRMÉ PAR LES GAMEDATA
45,1.9599e-319,15,0,0,28,0,30,2,30,0,0,CONFIRMÉ PAR LES GAMEDATA
46,2.0544e-319,15,0,2,30,0,30,0,30,0,0,CONFIRMÉ PAR LES GAMEDATA
47,2.1549e-319,15,0,0,30,2,32,0,30,0,0,CONFIRMÉ PAR LES GAMEDATA
48,2.26173e-319,15,0,0,30,0,32,2,32,0,0,CONFIRMÉ PAR LES GAMEDATA
49,2.3752e-319,15,0,2,32,0,32,0,32,0,0,CONFIRMÉ PAR LES GAMEDATA
50,2.5014e-319,15,0,0,32,2,34,0,32,0,0,CONFIRMÉ PAR LES GAMEDATA
51,2.64157e-319,15,0,0,32,0,34,2,34,0,0,CONFIRMÉ PAR LES GAMEDATA
52,2.7971e-319,15,0,2,34,0,34,0,34,0,0,CONFIRMÉ PAR LES GAMEDATA
53,2.96953e-319,15,0,0,34,2,36,0,34,0,0,CONFIRMÉ PAR LES GAMEDATA
54,3.16054e-319,15,0,0,34,0,36,2,36,0,0,CONFIRMÉ PAR LES GAMEDATA
55,3.37205e-319,15,0,2,36,0,36,0,36,0,0,CONFIRMÉ PAR LES GAMEDATA
56,3.6061e-319,15,0,0,36,2,38,0,36,0,0,CONFIRMÉ PAR LES GAMEDATA
57,3.86483e-319,15,0,0,36,0,38,2,38,0,0,CONFIRMÉ PAR LES GAMEDATA
58,4.15084e-319,15,0,2,38,0,38,0,38,0,0,CONFIRMÉ PAR LES GAMEDATA
59,4.4668e-319,15,0,0,38,2,40,0,38,0,0,CONFIRMÉ PAR LES GAMEDATA
60,4.81576e-319,15,0,0,38,0,40,2,40,0,0,CONFIRMÉ PAR LES GAMEDATA
61,5.20093e-319,15,0,2,40,0,40,0,40,0,0,CONFIRMÉ PAR LES GAMEDATA
62,5.62597e-319,15,0,0,40,2,42,0,40,0,0,CONFIRMÉ PAR LES GAMEDATA
63,6.09484e-319,15,0,0,40,0,42,2,42,0,0,CONFIRMÉ PAR LES GAMEDATA
64,6.61203e-319,15,0,2,42,0,42,0,42,0,0,CONFIRMÉ PAR LES GAMEDATA
65,7.1823e-319,15,0,0,42,2,44,0,42,0,0,CONFIRMÉ PAR LES GAMEDATA
66,7.77086e-319,15,0,0,42,0,44,2,44,0,0,CONFIRMÉ PAR LES GAMEDATA
67,8.3755e-319,15,0,2,44,0,44,0,44,0,0,CONFIRMÉ PAR LES GAMEDATA
68,8.99343e-319,15,0,0,44,2,46,0,44,0,0,CONFIRMÉ PAR LES GAMEDATA
69,9.6219e-319,15,0,0,44,0,46,2,46,0,0,CONFIRMÉ PAR LES GAMEDATA
70,1.02579e-318,15,0,2,46,0,46,0,46,0,0,CONFIRMÉ PAR LES GAMEDATA
71,1.089835e-318,15,0,0,46,2,48,0,46,0,0,CONFIRMÉ PAR LES GAMEDATA
72,1.15432e-318,15,0,0,46,0,48,2,48,0,0,CONFIRMÉ PAR LES GAMEDATA
73,1.21925e-318,15,0,2,48,0,48,0,48,0,0,CONFIRMÉ PAR LES GAMEDATA
74,1.284635e-318,15,0,0,48,2,50,0,48,0,0,CONFIRMÉ PAR LES GAMEDATA
75,1.35047e-318,15,0,0,48,0,50,2,50,0,0,CONFIRMÉ PAR LES GAMEDATA
