transition,skill,from_rank,to_rank,from_id,to_id,from_skill_group,to_skill_group,direct_gain,new_effects,removed_effects,source_buff_ids_before,source_buff_ids_after
Entaille ardente III → IV,Entaille ardente,3,4,1001648000201,1001648000301,1001648000200,1001648000300,- 0 % dégâts directs explicites,,,200010005000,"200010005000,200010005002"
Entaille ardente IV → V,Entaille ardente,4,5,1001648000301,1001648000401,1001648000300,1001648000400,- ATK coeff: +0.0400002 (+1.03%),,,"200010005000,200010005002","200010005000,200010005002,200010005004"
Jugement du Léviathan I → II,Jugement du Léviathan,1,2,1001602000001,1001602000101,1001602000000,1001602000100,- 0 % dégâts directs explicites,,,"1200191000,1001602000004","1200191000,1001602000004,1001602000001"
Jugement du Léviathan II → III,Jugement du Léviathan,2,3,1001602000101,1001602000201,1001602000100,1001602000200,- ATK coeff: +0.2 (+4.27%),,,"1200191000,1001602000004,1001602000001","1200191000,1001602000004,1001602000001"
Jugement du Léviathan III → IV,Jugement du Léviathan,3,4,1001602000201,1001602000301,1001602000200,1001602000300,"- 0 % dégâts directs explicites | - ChangeDamageOnElementType: +5% dégâts élémentaires conditionnels (FORTEMENT PROBABLE; bonus interne 500, élément/type 1)","ChangeDamageOnElementType: +5% dégâts élémentaires conditionnels (FORTEMENT PROBABLE; bonus interne 500, élément/type 1)",,"1200191000,1001602000004,1001602000001","1001602000002,1200191000,1001602000004,1001602000001"
Éclat de lumière I → II,Éclat de lumière,1,2,1001626000001,1001626000101,1001626000000,1001626000100,- ATK coeff: +0.0800002 (+3.08%) | - Paralysie/immobilisation 0.06 s (FORTEMENT PROBABLE; interne 60) | - Paralysie,Paralysie || Paralysie/immobilisation 0.06 s (FORTEMENT PROBABLE; interne 60),,,200020004001
Éclat de lumière II → III,Éclat de lumière,2,3,1001626000101,1001626000201,1001626000100,1001626000200,"- 0 % dégâts directs explicites | - IncreaseDamageByTargetSpecialState: +50% dégâts conditionnels (FORTEMENT PROBABLE; bonus interne 5000, cible 626/22 ""paralysis"")","IncreaseDamageByTargetSpecialState: +50% dégâts conditionnels (FORTEMENT PROBABLE; bonus interne 5000, cible 626/22 ""paralysis"")",,200020004001,"200020004001,200020004002"
Éclat de lumière III → IV,Éclat de lumière,3,4,1001626000201,1001626000301,1001626000200,1001626000300,- 0 % dégâts directs explicites,,,"200020004001,200020004002","200020004001,200020004002"
Vile attaque sournoise I → II,Vile attaque sournoise,1,2,1001706000001,1001706000101,1001706000000,1001706000100,"- ATK coeff: +0.0600001 (+4.2%) | - AttFR: -10% (FORTEMENT PROBABLE; valeur interne -1000) | - LevelDotDamage: paramètres internes 6, 4000, 0","AttFR: -10% (FORTEMENT PROBABLE; valeur interne -1000) || LevelDotDamage: paramètres internes 6, 4000, 0",,,200010008001
Vile attaque sournoise II → III,Vile attaque sournoise,2,3,1001706000101,1001706000201,1001706000100,1001706000200,- ATK coeff: +0.86 (+57.7%),,,200010008001,200010008001
Vile attaque sournoise III → IV,Vile attaque sournoise,3,4,1001706000201,1001706000301,1001706000200,1001706000300,"- 0 % dégâts directs explicites | - SkillDamageIncreaseOnBuffedTarget: +10% dégâts contre cible avec buff (FORTEMENT PROBABLE; bonus interne 1000, paramètres 0/75)","SkillDamageIncreaseOnBuffedTarget: +10% dégâts contre cible avec buff (FORTEMENT PROBABLE; bonus interne 1000, paramètres 0/75)",,200010008001,"200010008001,200010008002"
Incinération I → II,Incinération,1,2,1001720000001,1001720000101,1001720000000,1001720000100,"- 0 % dégâts directs explicites | - SkillChange: remplace/cible skill group 1001720000300 -> 1001720000400 | - SkillChange: remplace/cible skill group 1001720000100 -> 1001720000500 | - SkillChange: remplace/cible skill group 1001720000300 -> 1001720000500 | - SkillCast: lance skill group 1001720000600 | - SkillChange: remplace/cible skill group 1001720000200 -> 1001720000500 | - SkillChange: remplace/cible skill group 1001720000200 -> 1001720000400 | - SkillChange: remplace/cible skill group 1001720000100 -> 1001720000400 | - payload référencé 1001720000101: ATK 1.78, DEF 0, HP 0, CD 35 s, MP 291 | - EnhanceElementValue: paramètres internes 1, 100, 720 | - SkillTreeMpCost: -10% coût MP (FORTEMENT PROBABLE; interne -1000) | - payload référencé 1001720000601: ATK 0.9, DEF 0, HP 0, CD 0 s, MP 0 | - Lorsque l'utilisateur applique Éclatement, les effets [Insufflation de points de mana] ou [Récupération de points de mana] s'appliquent selon la quantité de PM restante. Si les PM de l'utilisateur sont de {TriggerOptionValue2,1} % ou plus, l'effet est activé.

Lorsque l'utilisateur applique Éclatement, ses dégâts de compétence augmentent de {Buff,10186,SpecialState1OptionValue2,0.01} %, mais {Buff,10186,SpecialState2OptionValue2,-0.01} % de ses PM max sont consommés. Si les PM de l'utilisateur sont de {Buff,10184,TriggerOptionValue2} % ou moins, l'effet est activé.

L'utilisateur récupère {Buff,10189,SpecialState1OptionValue2,0.01} % de ses PM pour chaque cible touchée par Éclatement. | - payload référencé 1001720000201: ATK 1.78, DEF 0, HP 0, CD 35 s, MP 291 | - payload référencé 1001720000401: ATK 0, DEF 0, HP 0, CD 0 s, MP 0 | - SkillTreeEnhance: +5% dégâts de compétence (FORTEMENT PROBABLE; interne 500) | - payload référencé 1001720000301: ATK 1.89, DEF 0, HP 0, CD 35 s, MP 291 | - payload référencé 1001720000501: ATK 0, DEF 0, HP 0, CD 0 s, MP 0","SkillChange: remplace/cible skill group 1001720000300 -> 1001720000400 || payload référencé 1001720000101: ATK 1.78, DEF 0, HP 0, CD 35 s, MP 291 || EnhanceElementValue: paramètres internes 1, 100, 720 || SkillChange: remplace/cible skill group 1001720000100 -> 1001720000500 || SkillTreeMpCost: -10% coût MP (FORTEMENT PROBABLE; interne -1000) || payload référencé 1001720000601: ATK 0.9, DEF 0, HP 0, CD 0 s, MP 0 || Lorsque l'utilisateur applique Éclatement, les effets [Insufflation de points de mana] ou [Récupération de points de mana] s'appliquent selon la quantité de PM restante. Si les PM de l'utilisateur sont de {TriggerOptionValue2,1} % ou plus, l'effet est activé.

Lorsque l'utilisateur applique Éclatement, ses dégâts de compétence augmentent de {Buff,10186,SpecialState1OptionValue2,0.01} %, mais {Buff,10186,SpecialState2OptionValue2,-0.01} % de ses PM max sont consommés. Si les PM de l'utilisateur sont de {Buff,10184,TriggerOptionValue2} % ou moins, l'effet est activé.

L'utilisateur récupère {Buff,10189,SpecialState1OptionValue2,0.01} % de ses PM pour chaque cible touchée par Éclatement. || SkillChange: remplace/cible skill group 1001720000300 -> 1001720000500 || payload référencé 1001720000201: ATK 1.78, DEF 0, HP 0, CD 35 s, MP 291 || payload référencé 1001720000401: ATK 0, DEF 0, HP 0, CD 0 s, MP 0 || SkillCast: lance skill group 1001720000600 || SkillChange: remplace/cible skill group 1001720000200 -> 1001720000500 || SkillTreeEnhance: +5% dégâts de compétence (FORTEMENT PROBABLE; interne 500) || SkillChange: remplace/cible skill group 1001720000200 -> 1001720000400 || payload référencé 1001720000301: ATK 1.89, DEF 0, HP 0, CD 35 s, MP 291 || payload référencé 1001720000501: ATK 0, DEF 0, HP 0, CD 0 s, MP 0 || SkillChange: remplace/cible skill group 1001720000100 -> 1001720000400",,,"10185,10187"
Incinération II → III,Incinération,2,3,1001720000101,1001720000201,1001720000100,1001720000200,- 0 % dégâts directs explicites,,,"10185,10187","10185,10187,10183"
Incinération III → IV,Incinération,3,4,1001720000201,1001720000301,1001720000200,1001720000300,- ATK coeff: +0.11 (+6.18%),,,"10185,10187,10183","10185,10188,10187,10183"
Destruction terrestre I → II,Destruction terrestre,1,2,1001725000001,1001725000101,1001725000000,1001725000100,- 0 % dégâts directs explicites,,,1420000020,"1420000020,200010011001"
Destruction terrestre II → III,Destruction terrestre,2,3,1001725000101,1001725000201,1001725000100,1001725000200,- ATK coeff: -2.33 (-100%),,,"1420000020,200010011001","1420000020,200010011001"
Destruction terrestre III → IV,Destruction terrestre,3,4,1001725000201,1001725000301,1001725000200,1001725000300,"- 0 % dégâts directs explicites | - SkillCast: lance skill group 1001828000000 | - payload référencé 1001828000001: ATK 0.07, DEF 0, HP 0, CD 0 s, MP 0","payload référencé 1001828000001: ATK 0.07, DEF 0, HP 0, CD 0 s, MP 0 || SkillCast: lance skill group 1001828000000",,"1420000020,200010011001","200010011003,1420000020,200010011001"
Charge explosive I → II,Charge explosive,1,2,1001735000001,1001735000101,1001735000000,1001735000100,- ATK coeff: +2.4 (+51.5%),,,1420000020,1420000020
Charge explosive II → III,Charge explosive,2,3,1001735000101,1001735000201,1001735000100,1001735000200,"- 0 % dégâts directs explicites | - L'effet [Force d'orc] s'applique également en cas de Coup critique réussi.
Augmente les chance qu'Épée longue d'orc inflige un Coup critique de {SpecialState1OptionValue1,0.01} %. | - CriticalRate: +20% (CONFIRMÉ par placeholders 0.01 quand présents; interne 2000)","L'effet [Force d'orc] s'applique également en cas de Coup critique réussi.
Augmente les chance qu'Épée longue d'orc inflige un Coup critique de {SpecialState1OptionValue1,0.01} %. || CriticalRate: +20% (CONFIRMÉ par placeholders 0.01 quand présents; interne 2000)",,1420000020,"10167,10169,1420000020"
Charge explosive III → IV,Charge explosive,3,4,1001735000201,1001735000301,1001735000200,1001735000300,- ATK coeff: +0.38 (+5.38%) | - Immunité aux dégâts (HYPOTHÈSE durée/valeur interne 100),Immunité aux dégâts (HYPOTHÈSE durée/valeur interne 100),,"10167,10169,1420000020","10851,10167,10169,1420000020"
Tonnerre ébranlé I → II,Tonnerre ébranlé,1,2,1001745000001,1001745000101,1001745000000,1001745000100,- 0 % dégâts directs explicites | - Super armure / immunité aux réactions (CONFIRMÉ par description) | - Super armure,Super armure || Super armure / immunité aux réactions (CONFIRMÉ par description),,,1200191000
Tonnerre ébranlé II → III,Tonnerre ébranlé,2,3,1001745000101,1001745000201,1001745000100,1001745000200,- 0 % dégâts directs explicites | - ArmPenP: 15% (FORTEMENT PROBABLE; valeur interne 1500),ArmPenP: 15% (FORTEMENT PROBABLE; valeur interne 1500),,1200191000,"1200191000,200010012001"
Tonnerre ébranlé III → IV,Tonnerre ébranlé,3,4,1001745000201,1001745000301,1001745000200,1001745000300,"- 0 % dégâts directs explicites | - IncreaseDamageByTargetSpecialState: +60% dégâts conditionnels (FORTEMENT PROBABLE; bonus interne 6000, cible 745/201 ) | - IncreaseDamageByTargetSpecialState: +60% dégâts conditionnels (FORTEMENT PROBABLE; bonus interne 6000, cible 745/20 )","IncreaseDamageByTargetSpecialState: +60% dégâts conditionnels (FORTEMENT PROBABLE; bonus interne 6000, cible 745/201 ) || IncreaseDamageByTargetSpecialState: +60% dégâts conditionnels (FORTEMENT PROBABLE; bonus interne 6000, cible 745/20 )",,"1200191000,200010012001","1200191000,200010012001,200010012002"
Tir rapide de phénix I → II,Tir rapide de phénix,1,2,1001755010001,1001755010101,1001755010000,1001755010100,- 0 % dégâts directs explicites,,,,10770
Tir rapide de phénix II → III,Tir rapide de phénix,2,3,1001755010101,1001755010201,1001755010100,1001755010200,- 0 % dégâts directs explicites,,,10770,10770
Tir rapide de phénix III → IV,Tir rapide de phénix,3,4,1001755010201,1001755010301,1001755010200,1001755010300,- 0 % dégâts directs explicites,,,10770,"10770,10772"
Barrage d'aiguilles empoisonnées I → II,Barrage d'aiguilles empoisonnées,1,2,1001603000001,1001603000101,1001603000000,1001603000100,- ATK coeff: +0.02 (+1.23%),,,,
Barrage d'aiguilles empoisonnées II → III,Barrage d'aiguilles empoisonnées,2,3,1001603000101,1001603000201,1001603000100,1001603000200,"- ATK coeff: +0.5 (+30.5%) | - AttFR: -10% (FORTEMENT PROBABLE; valeur interne -1000) | - Poison mortel d'Arachné | - LevelDotDamage: paramètres internes 6, 4000, 0","Poison mortel d'Arachné || AttFR: -10% (FORTEMENT PROBABLE; valeur interne -1000) || LevelDotDamage: paramètres internes 6, 4000, 0",,,200010001001
Feu destructeur I → II,Feu destructeur,1,2,1001604000001,1001604000101,1001604000000,1001604000100,"- 0 % dégâts directs explicites | - RemainHpDamageUp: paramètres internes 6000, 604, 0","RemainHpDamageUp: paramètres internes 6000, 604, 0","MonsterGradeDamage: paramètres internes 3, 1000, 0 || MonsterGradeDamage: paramètres internes 2, 1000, 0","200032003002,2999000804,200032003001,1420000020","200032003002,200032003001,200032003003,1420000020"
Feu destructeur II → III,Feu destructeur,2,3,1001604000101,1001604000201,1001604000100,1001604000200,"- 0 % dégâts directs explicites | - EnhanceSkillDamageFix: paramètres internes 604, 12000, 1","EnhanceSkillDamageFix: paramètres internes 604, 12000, 1",,"200032003002,200032003001,200032003003,1420000020","200032003002,200032003004,200032003001,200032003003,1420000020"
Énergie d'épée à 3 millions de wons I → II,Énergie d'épée à 3 millions de wons,1,2,1001605000001,1001605000101,1001605000000,1001605000100,- 0 % dégâts directs explicites,,,,200010002001
Énergie d'épée à 3 millions de wons II → III,Énergie d'épée à 3 millions de wons,2,3,1001605000101,1001605000201,1001605000100,1001605000200,- ATK coeff: +1.46 (+45.9%),,,200010002001,200010002001
Tueur de marcheurs blancs III → IV,Tueur de marcheurs blancs,3,4,1001606010201,1001606010301,1001606010200,1001606010300,- 0 % dégâts directs explicites,,,,
Tueur de marcheurs blancs IV → V,Tueur de marcheurs blancs,4,5,1001606010301,1001606010401,1001606010300,1001606010400,- ATK coeff: +0.21 (+8.82%),,,,
Chasse à mort I → II,Chasse à mort,1,2,1001607000001,1001607000101,1001607000000,1001607000100,- 0 % dégâts directs explicites,,,200010003001,"200010003001,200010003002"
Chasse à mort II → III,Chasse à mort,2,3,1001607000101,1001607000401,1001607000100,1001607000400,- ATK coeff: +0.17 (+5.9%),,,"200010003001,200010003002","200010003001,200010003005"
Bourrasque glaciale I → II,Bourrasque glaciale,1,2,1001629000001,1001629000101,1001629000000,1001629000100,- 0 % dégâts directs explicites,,,,"200020006003,200020006011"
Bourrasque glaciale II → III,Bourrasque glaciale,2,3,1001629000101,1001629000201,1001629000100,1001629000200,- ATK coeff: -5.19 (-100%) | - Cooldown: 35 s -> 27 s,,,"200020006003,200020006011",200020006011
Faucon du jugement I → II,Faucon du jugement,1,2,1001639000001,1001639000301,1001639000000,1001639000300,"- 0 % dégâts directs explicites | - SkillChange: remplace/cible skill group 1001101000000 -> 1001406000400 | - payload référencé 1001406000401: ATK 1.33, DEF 0, HP 0, CD 0 s, MP 0","payload référencé 1001406000401: ATK 1.33, DEF 0, HP 0, CD 0 s, MP 0 || SkillChange: remplace/cible skill group 1001101000000 -> 1001406000400","payload référencé 1001406000101: ATK 1.33, DEF 0, HP 0, CD 0 s, MP 0 || SkillChange: remplace/cible skill group 1001101000000 -> 1001406000100",200020007001,"200020007002,200020007007"
Faucon du jugement II → III,Faucon du jugement,2,3,1001639000301,1001639000601,1001639000300,1001639000600,"- ATK coeff: +0.15 (+5.64%) | - Paralysie/immobilisation 0.03 s (FORTEMENT PROBABLE; interne 30) | - SkillChange: remplace/cible skill group 1001101000000 -> 1001406000700 | - payload référencé 1001406000701: ATK 1.4, DEF 0, HP 0, CD 0 s, MP 0","payload référencé 1001406000701: ATK 1.4, DEF 0, HP 0, CD 0 s, MP 0 || Paralysie/immobilisation 0.03 s (FORTEMENT PROBABLE; interne 30) || SkillChange: remplace/cible skill group 1001101000000 -> 1001406000700","payload référencé 1001406000401: ATK 1.33, DEF 0, HP 0, CD 0 s, MP 0 || SkillChange: remplace/cible skill group 1001101000000 -> 1001406000400","200020007002,200020007007","200020007005,200020007008,200020007006"
Rémanence I → II,Rémanence,1,2,1001653000001,1001653000101,1001653000000,1001653000100,- 0 % dégâts directs explicites,,,,10292
Rémanence II → III,Rémanence,2,3,1001653000101,1001653000201,1001653000100,1001653000200,- ATK coeff: +3.17 (+112%),,,10292,10294
Transpercement de lézard I → II,Transpercement de lézard,1,2,1001658000001,1001658000101,1001658000000,1001658000100,- 0 % dégâts directs explicites,,,1420000021,"1420000021,200010006001"
Transpercement de lézard II → III,Transpercement de lézard,2,3,1001658000101,1001658000201,1001658000100,1001658000200,- ATK coeff: +2.43 (+75%),,,"1420000021,200010006001","1420000021,200010006001"
Récolte d'esprits I → II,Récolte d'esprits,1,2,1001696000001,1001696000101,1001696000000,1001696000100,"- 0 % dégâts directs explicites | - CriticalDamage: paramètres internes 5000, 696, 0 | - CriticalRate: +15% (CONFIRMÉ par placeholders 0.01 quand présents; interne 1500)","CriticalDamage: paramètres internes 5000, 696, 0 || CriticalRate: +15% (CONFIRMÉ par placeholders 0.01 quand présents; interne 1500)",,"200020005101,1420000021","200020005101,200020005102,1420000021"
Récolte d'esprits II → III,Récolte d'esprits,2,3,1001696000101,1001696000201,1001696000100,1001696000200,- ATK coeff: +0.62 (+54.4%),,,"200020005101,200020005102,1420000021","200020005101,200020005102,1420000021"
Récolte d'esprits I → II,Récolte d'esprits,1,2,1001696010001,1001696010101,1001696010000,1001696010100,"- 0 % dégâts directs explicites | - CriticalDamage: paramètres internes 5000, 696, 0 | - CriticalRate: +15% (CONFIRMÉ par placeholders 0.01 quand présents; interne 1500)","CriticalDamage: paramètres internes 5000, 696, 0 || CriticalRate: +15% (CONFIRMÉ par placeholders 0.01 quand présents; interne 1500)",,"200020005101,1420000021","200020005101,200020005102,1420000021"
Récolte d'esprits II → III,Récolte d'esprits,2,3,1001696010101,1001696010201,1001696010100,1001696010200,- ATK coeff: +4.31 (+53.6%),,,"200020005101,200020005102,1420000021","200020005101,200020005102,1420000021"
Récolte d'esprits I → II,Récolte d'esprits,1,2,1001696020001,1001696020101,1001696020000,1001696020100,"- 0 % dégâts directs explicites | - CriticalDamage: paramètres internes 5000, 696, 0 | - CriticalRate: +15% (CONFIRMÉ par placeholders 0.01 quand présents; interne 1500)","CriticalDamage: paramètres internes 5000, 696, 0 || CriticalRate: +15% (CONFIRMÉ par placeholders 0.01 quand présents; interne 1500)",,"200020005101,1420000021","200020005101,200020005102,1420000021"
Récolte d'esprits II → III,Récolte d'esprits,2,3,1001696020101,1001696020201,1001696020100,1001696020200,- ATK coeff: +1.24 (+54.1%),,,"200020005101,200020005102,1420000021","200020005101,200020005102,1420000021"
Éclair final I → II,Éclair final,1,2,1001716000001,1001716000101,1001716000000,1001716000100,"- 0 % dégâts directs explicites | - IncreaseDamageByTargetBuff: +90% dégâts conditionnels (FORTEMENT PROBABLE; bonus interne 9000, cible 716/200030001001 )","IncreaseDamageByTargetBuff: +90% dégâts conditionnels (FORTEMENT PROBABLE; bonus interne 9000, cible 716/200030001001 )",,"200030001001,200030001003","200030001001,200030001002,200030001003"
Éclair final II → III,Éclair final,2,3,1001716000101,1001716000201,1001716000100,1001716000200,- 0 % dégâts directs explicites,,,"200030001001,200030001002,200030001003","200030001001,200030001002,200030001003"
Yeux luisants I → II,Yeux luisants,1,2,1001740000001,1001740000101,1001740000000,1001740000100,- ATK coeff: +0.16 (+5.46%),,,,
Yeux luisants II → III,Yeux luisants,2,3,1001740000101,1001740000201,1001740000100,1001740000200,"- 0 % dégâts directs explicites | - ChangeDamageOnElementType: +0.27% dégâts élémentaires conditionnels (FORTEMENT PROBABLE; bonus interne 27, élément/type 1)","ChangeDamageOnElementType: +0.27% dégâts élémentaires conditionnels (FORTEMENT PROBABLE; bonus interne 27, élément/type 1)",,,200010010001
Tonnerre ébranlé II → III,Tonnerre ébranlé,2,3,1001745010101,1001745010201,1001745010100,1001745010200,- ATK coeff: +0.0599999 (+2.78%) | - ArmPenP: 15% (FORTEMENT PROBABLE; valeur interne 1500),ArmPenP: 15% (FORTEMENT PROBABLE; valeur interne 1500),,1200191000,"1200191000,200010012001"
Tonnerre ébranlé III → IV,Tonnerre ébranlé,3,4,1001745010201,1001745010301,1001745010200,1001745010300,"- ATK coeff: +1.33 (+59.9%) | - IncreaseDamageByTargetSpecialState: +60% dégâts conditionnels (FORTEMENT PROBABLE; bonus interne 6000, cible 745/201 ) | - IncreaseDamageByTargetSpecialState: +60% dégâts conditionnels (FORTEMENT PROBABLE; bonus interne 6000, cible 745/20 )","IncreaseDamageByTargetSpecialState: +60% dégâts conditionnels (FORTEMENT PROBABLE; bonus interne 6000, cible 745/201 ) || IncreaseDamageByTargetSpecialState: +60% dégâts conditionnels (FORTEMENT PROBABLE; bonus interne 6000, cible 745/20 )",,"1200191000,200010012001","1200191000,200010012001,200010012002"
Tonnerre ébranlé II → III,Tonnerre ébranlé,2,3,1001745020101,1001745020201,1001745020100,1001745020200,- ATK coeff: +0.00999999 (+1.85%) | - ArmPenP: 15% (FORTEMENT PROBABLE; valeur interne 1500),ArmPenP: 15% (FORTEMENT PROBABLE; valeur interne 1500),,1200191000,"1200191000,200010012001"
Tonnerre ébranlé III → IV,Tonnerre ébranlé,3,4,1001745020201,1001745020301,1001745020200,1001745020300,"- ATK coeff: +0.33 (+60%) | - IncreaseDamageByTargetSpecialState: +60% dégâts conditionnels (FORTEMENT PROBABLE; bonus interne 6000, cible 745/201 ) | - IncreaseDamageByTargetSpecialState: +60% dégâts conditionnels (FORTEMENT PROBABLE; bonus interne 6000, cible 745/20 )","IncreaseDamageByTargetSpecialState: +60% dégâts conditionnels (FORTEMENT PROBABLE; bonus interne 6000, cible 745/201 ) || IncreaseDamageByTargetSpecialState: +60% dégâts conditionnels (FORTEMENT PROBABLE; bonus interne 6000, cible 745/20 )",,"1200191000,200010012001","1200191000,200010012001,200010012002"
Rédemption de la Terre I → II,Rédemption de la Terre,1,2,1001839000001,1001839000201,1001839000000,1001839000200,- 0 % dégâts directs explicites,,,1420000020,1420000020
Rédemption de la Terre II → III,Rédemption de la Terre,2,3,1001839000201,1001839000401,1001839000200,1001839000400,- 0 % dégâts directs explicites,,,1420000020,"200030019005,1420000020"
Rage obscure I → II,Rage obscure,1,2,1001843000001,1001843000101,1001843000000,1001843000100,- 0 % dégâts directs explicites | - DamReduP: -8% (FORTEMENT PROBABLE; valeur interne -800) | - temp//적에게 적용,temp//적에게 적용 || DamReduP: -8% (FORTEMENT PROBABLE; valeur interne -800),,,200011000001
Rage obscure II → III,Rage obscure,2,3,1001843000101,1001843000201,1001843000100,1001843000200,- ATK coeff: -4.09 (-100%) | - temp//성진우에게 적용 | - temp//성진우에게 적용 | - temp//성진우에게 적용,temp//성진우에게 적용 || temp//성진우에게 적용 || temp//성진우에게 적용,temp//적에게 적용 || DamReduP: -8% (FORTEMENT PROBABLE; valeur interne -800),200011000001,"200011000201,200011000202,200011000203"
